,MITRA,MITRA KERJA SAMA,JENIS KERJASAMA,SIGN,NOMOR,SIGN,NOMOR,MASA BERLAKU,MULAI,BERLAKU HINGGA,STATUS,DOKUMEN,
2019,Universitas,Universitas Diponegoro,Perjanjian Kerja Sama,Dirjen PT,12/PT/KKP/PKS/III/2019,Dekan FPIK Undip,003/UN7.5.10/KS/III/2019,3,3/21/2019,3/21/2022,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1ggv7ayCz48n58E5rg1ER23uaQ1RRt-st/view?usp=drive_link
2019,Swasta,PT. ASTRA Daihatsu Motor,Perjanjian Kerja Sama,SesDitjen PRL,04/PRL/KKP/PKS/II/2019,Direktur Marketing,001/CSR-ADM/PKS/-2/19,3,2/13/2019,2/13/2022,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1KaYmS3TSqlQW8bxEHsruYvavY3_HBmup/view?usp=drive_link
2019,Ormas,Yayasan Penyu Indonesia,Perjanjian Kerja Sama,Ka. BPSPL Padang,02/BPSPL.01/PRL/KKP/PKS/I/2019,Ketua YPI,01/YPI/PKS/I/2019,3,1/16/2019,1/16/2022,Proses Peninjauan,Dokumen,https://drive.google.com/file/d/1GECp280aJJdkSjQe6lJqWPi0sWn0Upn7/view?usp=drive_link
2019,K/L,"Balai Besar Kalibrasi Fasilitas Penerbangan, DitJen HubUd, Kemenhub",Perjanjian Kerja Sama,"Dir. POA, DitJen PSDKP",010/PKS-DJPSDKP/XII/2019,Direktur Balai Besar,HK.201/3/5/BBKFP-2019,2,12/11/2019,12/10/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1k0oiY53QMRzH0xzmUaoMW4oddpsA_Qnh/view?usp=drive_link
2019,K/L,"Ditjen HubLa, Kemenhub",Perjanjian Kerja Sama,"Dirjen PT, KKP",01/PT/KKP/PKS/III/2019,"Dirjen HubLa, Kemenhub",HK.201/2/17/DJPL/2019,2,3/5/2019,3/5/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1Au2lYA_1GNJiN-yr4cxWfg3YMVybnnqz/view?usp=drive_link
2019,K/L,BPPT,Perjanjian Kerja Sama,Dir KAPI,14/PT/KKP/PKS/VIII/2019,Dir.PusTek Rekayasa Industri Maritim,/PKS/BPPT-KKP/08/2019,-,8/27/2019,12/31/2019,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/133iNajsjj71vsGNVP_AyqQpgacvZzoWF/view?usp=drive_link
2019,Pemda,Dinas KP Jabar,Perjanjian Kerja Sama,KaDin KP Jabar,065/lan.3/HK.320/IV/2019,Ka. PSDKP Jakarta,119/3572/PSDKP,1,2/4/2019,12/31/2019,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1_8xqFXTeHoDCJ8uI-rSklLtYhnKO_Jsq/view?usp=drive_link
2019,Swasta,Yayasan Pendidikan Pembinaan Manajemen,Perjanjian Kerja Sama,Dir. Jasa PengembanganEksekutif PPM Manajemen,,Plt. Sesditjen PSDKP,32133/PSDKP.0.2.1/KS.300/X/2019,,10/31/2019,12/12/2019,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/122-oRSs0VTtXGvq6NllJbHWhrbwLQzpp/view?usp=drive_link
2019,BUMN,BRI,Perjanjian Kerja Sama,Direktur BLU LPMUKP,01/PKS-LPMUKP/X/2019,KaDiv. BRI,B.01-BKC/10/2019,,10/17/2019,,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1wP2Fw2yRAZpNZi-XaSfK9NkSwrAQTgyF/view?usp=drive_link
2019,K/L,POLRI,Perjanjian Kerja Sama,"Dir. PSDK, DitJen PSDKP",07/PKS-DJPSDKP/IX/2019,Ka. LEMDIKLAT POLRI,B/106/IX/2019,,9/3/2019,,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1m1i2QPQVF3sCLh4Bf5CqfPnmxepdaYfX/view?usp=drive_link
2019,K/L,Pusdik Intelkam Lemdiklat POLRI,Perjanjian Kerja Sama,Ka.Puskari,471/BKIPM.2/TU.210/IV/2019,Ka.Pusdik Intelkamlendiklat,B/197/IV/HUM.5.1/2019/DIKINTELKAM,-,4/9/2019,,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1Brgyuapz9DbUIg51othDucFjROgViuAv/view?usp=drive_link
2019,K/L,BNPT,,,,,,,,,Tidak Berlaku,,
2019,Ormas,HKBP,Kesepakatan Bersama,MKP,05.2/MEN-KP/KB/IX/2019,Ephorus HKBP,1379/L19/IX/2019,,9/15/2019,,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1bwc9nRCX80-_Y83PyJsM_MJ40vGma0Ej/view?usp=drive_link
2019,BUMN,BRI,Perjanjian Kerja Sama,Sekjen KKP,01/SJ/KKP/PKS/X/2019,Dir. Bisnis Mikro,B.1475-DIR/IMR/10/2019,,10/10/2019,,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1Th52zIDxFWpdeZG5oNSgDsETa4Z3LPxZ/view?usp=drive_link
2020,K/L,KPK,Perjanjian Kerja Sama,Irjen KKP,05/SJ-KKP/PKS/XII/2020,Deputi Pengawasan Internal,372 tahun 2020,5,12/21/2020,12/21/2025,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1oWYNZ0XKVaMabDZ1PUbpdKUGoaHxLLRS/view?usp=share_link
2020,Ormas,Yayasan Pusat Segitiga Karang (CTC),Kesepakatan Bersama,Sekjen KKP,04/SJ-KKP/KB/XII/2020,Ketua Yayasan CTC,262/MOU/KKP-CTC/XII/2020,5,12/21/2020,12/21/2025,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1T4f0PfPMyC59InouQ0557sHedFvEzSlI/view?usp=share_link
2020,K/L,Bappenas,Nota Kesepahaman,Sekjen KKP,03/SJ-KKP/KB/XII/2020,Sestama,NKB 18/SES/12/2020,5,12/16/2020,12/16/2025,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1y3BVHNZxkIPN3fqC7v83rcXFR1x6le4T/view?usp=share_link
2020,K/L,Kementerian Keuangan,Perjanjian Kerja Sama,Sekjen KKP,04/SJ-KKP/PKS/XII/2020,Dirjen Pajak,PRJ-20/PJ/2020,5,12/10/2020,12/10/2025,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/16gzUexZxyjEcnMQtdW7qh-G7enq_AfyK/view?usp=share_link
2020,Universitas,Fakultas Kelautan dan Perikanan UNSYIAH,Perjanjian Kerja Sama,Dekan,B/239/UN11/HK.07.00/2020,Ka. Pangkalan PSDKP Lampulo,0909/LAN.1/HK.320/XI/2020,5,11/25/2020,11/25/2025,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1MqwQxqIhfy7OtpP6mKZfa33Uya6t1bwR/view?usp=drive_link
2020,BUMN,BNI,Perjanjian Kerja Sama,Kapusdatin,4351/SJ.7/HK.320/X/2020,Kadiv Hubungan Kelembagaan,HLB/061/PKS/2020,5,10/21/2020,10/21/2025,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1Gl6nbsrm4wy61j1xKloHun2XSF97UyfA/view?usp=share_link
2020,Swasta,PT Grab Teknologi Indonesia,Nota Kesepahaman,Dirjen PDSPKP,03/PDSPKP/KKP/KB/VIII/2020,Dirut PT Grab,013/GRAB-KKP/MOU-BD/VIII/2020,5,8/19/2020,8/19/2025,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1zczjeRxH7m288CnspwRp3s4dIsxp_j6n/view?usp=share_link
2020,K/L,"Kemenkomarves
Kemenhub
KLHK
KKP
Kemenparekraf
TNI
BIG",Perjanjian Kerja Sama,Sekjen KKP,01/SJ-KKP/PKS/II/2020,"Deputi Kedaulatan Maritim
Dirjen Hubla
Sekjen KLHK
Sekjen KKP
Sekjen Kemenparekraf
Kepala Deshidros
Sestama BIG",,5,2/12/2020,2/12/2025,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1Toj0gJx3-C2fqeoimjUDyX8KsN-EA4UH/view?usp=share_link
2020,BUMN,BNI,Perjanjian Kerja Sama,Sekjen KKP,03/SJ/KKP/PKS/II/2020,Dir. Hubungan Kelembagaan,DIR/116.1,5,2/12/2020,2/12/2025,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1-CKs57dL5FSK1hlj07Yex-LwM--6H4k-/view?usp=share_link
2020,K/L,Kemendes,Kesepakatan Bersama,MKP,04/MKP-KP/KB/X/2020,Menteri Desa PDT,28/M/HK.07.01/X/2020,4,10/26/2020,10/26/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1aDlcZly8mn2w4hoAw6zN6FKlw7nzkbJN/view?usp=share_link
2020,K/L,"Kemenkomarves
Kemenhub
KLHK
KKP
Kemenparekraf
TNI
BIG",Perjanjian Kerja Sama,Sekjen KKP,02/SJ-KKP/PKS/II/2020,"Deputi Kedaulatan Maritim
Dirjen Hubla
Sekjen KLHK
Sekjen KKP
Sekjen Kemenparekraf
Kepala Deshidros
Sestama BIG",,4,2/12/2020,2/12/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1733315g6K9dXhFxXhbvavVJQz0nVbhcb/view?usp=share_link
2020,BUMN,PT Pelni,Kesepakatan Bersama,Sekjen KKP,05/SJ-KKP/KB/XII/2020,Dirut Pelni,TH.12.28-01/MOU/2020,3,12/28/2020,12/28/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1xlPc8evlboW1OjJ8EXuA1je98Z5Cam_g/view?usp=share_link
2020,K/L,Divisi Hubungan Internasional POLRI,Perjanjian Kerja Sama,Dirjen PSDKP,05/PKS-DJPSDKP//XII/2020,Kadiv Hubungan Internasional POLRI,PKS/82/XII/2020,3,12/15/2020,12/15/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1urKeunVapMoF3uW3ONnGylIHc-52RZ34/view?usp=drive_link
2020,Universitas,Fakultas Biologi Unsoed,Perjanjian Kerja Sama,Dekan,T/499/UN.23.06/HK.06/2020,Ka. Stasiun PSDKP Cilacap,2121/STA.1/HK.320/XI/2020,3,11/13/2020,11/13/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1DEuAdnNORt8SFRIi4cSDrVAnsv7mlpg2/view?usp=drive_link
2020,Swasta,PT Aruna Jaya Nuswantara,Perjanjian Kerja Sama,Dirjen PDSPKP,02/PDSPKP/KKP/PKS/VIII/2020,Dirut,014/AJN/PKS/VIII/2020,3,8/19/2020,8/19/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1xLBSkscQz14Tlx9QtolWGjmsrUiYpHpW/view?usp=share_link
2020,Swasta,PT Tani Grup Indonesia,Nota Kesepahaman,Dirjen PDSPKP,01/PDSPKP/KKP/KB/VIII/2020,Presiden PT Tani Grup,007/LGL-TGI/MOU/VIII/2020,1,8/19/2020,8/19/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1XZczQFfr0XDZSXaMm9OvDgUUXLQzX3cZ/view?usp=share_link
2020,K/L,"Kemenko Polhukam
Kemenkum HAM
Kemenkeu
Kemenhub
KLHK
KKP
TNI
POLRI
Bakamla
PT Pertamina
ANSI
HNSI
Kel. Nelayan Mandiri",Kesepakatan Bersama,Dirjen PT,02/MEN-KP/KB/II/2020,"Deputi Pertahanan
Dirjen Imigrasi
Dirjen Bea dan Cukai
Dirjen Hubla
Dirjen Pencemaran
Dirjen PT
Asop
Kapolairud
Deputi Operasi dan Latihan
Dirut Pertamina
Ketua ASNI
Ketua HNSI
Ketua Nelayan Mandiri",,1,2/21/2020,2/21/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1J_pP4qsXN-WJFXJOm5RJqlGm5o-4Dbis/view?usp=share_link
2020,K/L,,,,,,,,,,,,
2021,K/L,BPS,Nota Kesepakatan,MKP,13/MEN-KP/KB/XII/2021,Kepala BPS,17/KS.M/15-XII/2021,5,12/15/2021,12/15/2026,Berlaku,Dokumen,https://drive.google.com/file/d/1TnHQyyv48mjkOuFRomAMxt2xj6Sy5DaG/view?usp=share_link
2021,K/L,BMKG,Kesepakatan Bersama,MKP,12/MEN-KP/KB/XI/2021,Kepala BMKG,Mou/016/KB/DN/XI/2021,5,11/11/2021,11/11/2026,Berlaku,Dokumen,https://drive.google.com/file/d/1NG8boaNpE3elruq3SIZzTtjcoNtRvpc2/view?usp=share_link
2021,K/L,"Deputi Bidang Perkoperasian 
Deputi Bidang Usaha Mikro 
Deputi Bidang Usaha Kecil dan menengah
Deputi Bidang Kewirausahaan
Kementerian Koperasi dan UMKM",Perjanjian Kerja Sama,Dirjen PDS PKP,02/PDSPKP/KKP/PKS/X/2021,"Deputi Bidang Perkoperasian 
Deputi Bidang Usaha Mikro 
Deputi Bidang Usaha Kecil dan menengah
Deputi Bidang Kewirausahaan
Kementerian Koperasi dan UMKM","08/PKS/DEP.1/X/2021
250/PKS/DEP.2/X/2021
55/PKS/DEP.3/X/2021
36/PKS/DEP.4/X/2021",5,10/21/2021,10/21/2026,Berlaku,Dokumen,https://drive.google.com/file/d/1Ch4sAsBbWKavFtJOXVClD42kG90fnRxN/view?usp=share_link
2021,K/L,Kemen Koperasi UKM,Kesepakatan Bersama,MKP,10/MEN-KP/KB/VIII/2021,Men Koperasi UKM,17/KB/M.KUKM/VIII/2021,5,8/21/2021,8/21/2026,Berlaku,Dokumen,https://drive.google.com/file/d/1bqZ02hK9_r2nOUvFw4nnDiQmD-IHk9-Z/view?usp=share_link
2021,K/L,Ditjen Protokoler dan Konsuler Kemenlu,Perjanjian Kerja Sama,Dirjen Protokoler dan Konsuler,PRJ/PK/00027/09/2021/64,Dirjen PSDKP,07/PKS-DJPSDKP/VIII/2021,5,8/19/2021,8/19/2026,Berlaku,Dokumen,https://drive.google.com/file/d/1FnfqeaZOZy9TMycodhe6fr1I5POKmyDr/view?usp=drive_link
2021,Universitas,IPB,Kesepakatan Bersama,MKP,06/MEN-KP/KB/VI/2021,Rektor IPB,75/IT3/HK.07.00-1/P/B/2021,5,6/16/2021,6/16/2026,Berlaku,Dokumen,https://drive.google.com/file/d/1M-EZHhZR3uX8lq6MEUwOUqSZug291fTq/view?usp=share_link
2021,Universitas,UGM,Kesepakatan Bersama,MKP,05/MEN-KP/KB/VI/2021,Rektor UGM,1390/UN1.P/DIT-KAUI/HK/2021,5,6/11/2021,6/11/2026,Berlaku,Dokumen,https://drive.google.com/file/d/1X_plA_mqifg5BJbUcxVMA37Omo0rireJ/view?usp=share_link
2021,Pemda,DKI,Nota Kesepakatan,MKP,04/MEN-KP/KB/V/2021,Gubernur,9 Tahun 2021,5,5/27/2021,5/27/2026,Berlaku,Dokumen,https://drive.google.com/file/d/1DenRtkDFhIivLi1h4cqjO5v_NECe0MOe/view?usp=share_link
2021,Pemda,Provinsi Jawa Barat,Perjanjian Kerja Sama,Kadis Kelautan dan Perikanan Jawa Barat,1655/HK.02.01/DKP,Sekretaris DJPSDKP,02/PKS-DJPSDKP/III/2021,5,3/18/2021,3/18/2026,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1jm95_5j3nXBJRgR2DIxLEMldomV3bNmN/view?usp=drive_link
2021,Ormas,YKAN,Kesepakatan Bersama,Sekjen KKP,01/SJ-KKP/KB/III/2021,Ketua Yayasan,096/LTR/YKAN/JKT/ED/III/2021,5,3/10/2021,3/10/2026,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1CBLuK75sRvWwbNDwLs37YVe3wNH_ffEk/view?usp=share_link
2021,K/L,KPPPA,Kesepakatan Bersama,MKP,01/MEN-KP/KB/I/2021,Menteri PPPA,02/Men/KL.01/01/2021,5,1/29/2021,1/29/2026,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1jN7GxsNT6Txg6yoakjQSEYvb-LbcasZE/view?usp=share_link
2021,K/L,"Kemenkomarves
KLHK
KKP
PT PELINDO I,II,III,IV
GAPKI
APHI
APROBI",Kesepakatan Bersama,Sekjen KKP,03/SJ-KKP/KB/VIII/2021,"Deputi Pengelolaan Lingkungan
Sekjen KLHK
Sekjen KKP
Dirut PT PELINDO I,II,III,IV
GAPKI
APHI
APROBI","8/NKB/MARVES/2021
PKS.2/SETJEN/ROCAN/SET.1/8/2021
03/SJ-KKP/KB/VIII/2021
UM.57/37/20/PI-21.TU
018/SPK/GAPKI/VIII/2021
MOU APHI 365/DP-APHI/Vlll/2021
050/VIII-APROBI/2021",4,8/10/2021,8/10/2025,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1P6_GJp4sSqydosLtceBqTJWPnoKK1DDg/view?usp=share_link
2021,K/L,Kementerian Pertanian,Kesepakatan Bersama,MKP,09/MEN-KP/KB/VII/2021,Menteri Pertanian,06/MoU/HK.220/M/07/2021,4,7/28/2021,7/28/2025,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1voWuYnKwzOtsWlaJOF3f5KCYgporerCH/view?usp=share_link
2021,K/L,BPJS Ketenagakerjaan,Perjanjian Kerja Sama,Kapusdatin,03/SJ/KKP/PKS/XII/2021,Direktur Kepesertaan,PErR/314/122021,3,12/20/2021,12/20/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/14tfZ5M78iXGQL4xweEYpEThU3H6WRn4V/view?usp=share_link
2021,K/L,BPJS Ketenagakerjaan,Perjanjian Kerja Sama,Dirjen PT,05/PT/KKP/PKS/XII/2021,Direktur Kepesertaan,PER/305/122021,3,12/10/2021,12/10/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1GhDoIuuzItwsVIV877w6Mn61Kk_XBYY3/view?usp=share_link
2021,K/L,Dirjen PKTN Kemdag,Perjanjian Kerja Sama,Dirjen PSDKP,09/PKS-DJPSDKP/X/2021,Dirjen PKTN Kemdag,01/PKTN/PERJ/10/2021,3,10/18/2021,10/18/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1467Ff0DYmjMkySUQZPfjWdwXQZLcSV6o/view?usp=share_link
2021,K/L,Ditjen Perlindungan Konsumen dan Tertib Niaga Kemendag,Perjanjian Kerja Sama,Dirjen PSDKP,09/PKS-DJPSDKP/X/2021,Dirjen Perlindungan Konsumen dan Tertib Niaga,01/PKTN/PERJ/10/2021,3,10/18/2021,10/18/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1AsTlJZEgQRujh6m3Dhmycb415f79qFUJ/view?usp=drive_link
2021,Ormas,Yayasan WWF Indonesia,Kesepakatan Bersama,Sekjen KKP,05/SJ-KKP/KB/X/2021,Ketua,542/WWF-ID/LGL-AMD1-01819/XFY21/2021,3,10/26/2021,10/18/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1iV9qseZj-s0MWss2Ku9NehzRhyf-Qk3b/view?usp=share_link
2021,Ormas Asing,RARE,Memorandum Saling Pengertian,Sekjen KKP,,VP RARE,,3,10/8/2021,10/8/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1hz8yzCzb7SeXBhexWfm1CjxRiJ2MnACE/view?usp=share_link
2021,K/L,"Deputi Pemberantasan BNN                                                                                                                                                                                                                                                                                                                                                    ""D 
Ditjen Bea Cukai, Kemenkeu 
Ditjen Perhubungan Laut, Kemenhub
POLRI",Perjanjian Kerja Sama,"Deputi Pemberantasan, BNN",PKS/51/IX//2021/BNN,Dirjen PSDKP,08/PKS_DJPSDKP/IX/2021,3,9/14/2021,9/14/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1vAUKT2H5LBQWYrMkr2L6Gm1ST0rP0Vfm/view?usp=drive_link
2021,K/L,Perpusnas,Nota Kesepahaman,MKP,11/MEN-KP/KB/XI/2021,Kepala Perpusnas,484/PKS/XI.2021,3,9/92021,9/9/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1eMIZ6e716tTT_pzmeu3LXk3wXije1JE2/view?usp=share_link
2021,K/L,Kejaksaan RI,Perjanjian Kerja Sama,Irjen KKP,12.13/ITJ/VIII/2021,Jaksa Agung Muda Intelijen,B-1008/D/Dpp/08/2021,3,8/13/2021,8/13/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1U4XAldEfNR_ucjSSMIrJ0hamoh4zaF-d/view?usp=share_link
2021,K/L,Kejaksaan RI,Nota Kesepahaman,MKP,07/MEN-KP/KB/VI/2021,Jaksa Agung,9 Tahun 2021,3,6/21/2021,6/21/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1q1-S9MN-3F9u_oOL4FAWRLx4RFBJ2Z-_/view?usp=share_link
2021,BUMN,PLN,Kesepakatan Bersama,Sekjen KKP,02/SJ-KKP/KB/IV/2021,Dirut PLN,0026.MoU/HKM.02.02/C01000000/2021,3,4/13/2021,4/13/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1toTwSEQLYHdnQoRFqlJc_h2PIx2Ev173/view?usp=share_link
2021,Universitas,LPPM Unsoed,Perjanjian Kerja Sama,Ketua LPPM,T/1294/UN.23.18/HK.06.00/2021,Sekretaris DJPSDKP,03/PKS-DJPSDKP/III/2021,3,3/26/2021,3/26/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1jkL6sr4HuPnQH4uwmXlXB2VJPMOhzdhR/view?usp=drive_link
2021,BUMN,PT POS Indonesia,Perjanjian Kerja Sama,Kepala SKIPM Bandung,650/47.0/KS.300/V/2021,Kepala Kantor Regional 5 POS,1495/ Regional5/Penjualan Korporat/0521,2,5/5/2021,5/5/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/19CE3R7ihv9oiiGGRWbqOF2i7fk9wS1KW/view?usp=share_link
2021,K/L,"Kemhan
Kemenkopolhukam
Kemendagri
Kemen PAN RB
Kemendikbud 
Kemenag
Kemenpora
Kemenhub
Kominfo
KKP
Polri
Lembaga Ketahanan Indones
BNPT
BNN",Kesepakatan Bersama,MKP,03/MEN-KP/KB/V/2021,"Menhan
Menkopolhukam
Mendagri
Men PAN RB
Mendikbud 
Menag
Menpora
Menhub
Menkominfo
MKP
Kapolri
Lembaga Ketahanan Indonesia
Kepala BNPT
Kepala BNN",,5,5/7/2021,5/7/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/142uQ-5sIdz0EHSFgySAnSEiyhw9wXD2L/view?usp=share_link
2021,K/L,BPJS Ketenagakerjaan,Kesepakatan Bersama,Sekjen KKP,06/SJ-KKP/KB/XII/2021,Direktur Utama,MOU/20/122021,5,12/72020,12/7/2020,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1UsqEMlxCIdNVMmh2xgJSc1DEhBh4dIAk/view?usp=share_link
2021,K/L,Kemenhub,Nota Kesepahaman,MKP,08/MEN-KP/KB/VI/2021,Menhub,PJ 98 Tahun 2021,,6/28/2021,,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1HfOods9-9Yn8hwN9uVJD3gL-2YXwAN1Z/view?usp=share_link
2021,K/L,KLHK,Kesepakatan Bersama,MKP,02/MEN-KP/KB/III/2021,Menteri LHK,PKS.1/MENLHK/SETJEN/KSA.2/3/2021,,3/29/2021,,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1mbkAXKj5gKofYz0AJhD3TRj1VQKh7urt/view?usp=share_link
2022,BUMN,PT Pos Indonesia,Nota Kesepahaman,Sekjen KKP,05/SJ/KKP/KB/XI/2022,Dirut PT Pos Indonesia,MOU.297/DIRUT/2022,5,11/30/2022,11/30/2027,Berlaku,Dokumen,https://drive.google.com/file/d/1n5Q9-oE9vINSvIcFzO5sN72myfD1_HOG/view?usp=share_link
2022,Universitas,Universitas Hang Tuah,Kesepakatan Bersama,Sekjen KKP,04/SJ/KKP/KB/XI/2022,Rektor Universitas Hang Tuah,B/83/UHT.AO/XI/2022,5,11/21/2022,11/21/2027,Berlaku,Dokumen,https://drive.google.com/file/d/1-1XfebTQ6e55pp-P9QUu998OqVOdL9VC/view?usp=share_link
2022,BUMN,PT Kereta Api Logistik,Perjanjian Kerja Sama,Sekjen KKP,03/SJ/KKP/X/2022,Dirut PT Kereta Api Logistik,0252/KALOG/PJ/10/2022,5,10/12/2022,10/12/2027,Berlaku,Dokumen,https://drive.google.com/file/d/1NsRb5xNREZE35SQ4Yp6SZUgWDpBQpWCP/view?usp=share_link
2022,Ormas,Yayasan Strategi Konservasi Indonesia,Kesepakatan Bersama,Sekjen KKP,02/SJ/KKP/KB/X/2022,Direktur Yayasan Strategi Konservasi Indonesia,YSKI-001-0CT22,5,10/11/2022,10/11/2027,Berlaku,Dokumen,https://drive.google.com/file/d/1zmw_OqrHty6Ma6VqLfAsXEkuGVWzrQyV/view?usp=share_link
2022,K/L,Kementerian Ketenagakerjaan,Kesepakatan Bersama,MKP,08/MEN-KP/KB/IX/2022,Menteri Tenaga Kerja,M/4/KS.06/IX/2022,5,9/30/2022,9/30/2027,Berlaku,Dokumen,https://drive.google.com/file/d/1W6J0RI_ThFrPuD7F4hvvyrYOQkz-Q9wF/view?usp=share_link
2022,K/L,Kemendikbudristek,Nota Kesepahaman,MKP,07/MEN-KP/KB/VIII/2022,Menteri DIkbudristek,07.1/VII/NK/2022,5,8/5/2022,8/5/2027,Berlaku,Dokumen,https://drive.google.com/file/d/1W6J0RI_ThFrPuD7F4hvvyrYOQkz-Q9wF/view?usp=share_link
2022,Ormas,Kamar Dagang dan Industri Indonesia (KADIN),Nota Kesepahaman,MKP,06/MEN-KP/KB/IV/2022,Ketua Umum KADIN,MOU/036/DP/IV/2022,5,4/6/2022,4/6/2027,Berlaku,Dokumen,https://drive.google.com/file/d/1CN_28o13ODek0z-0Tx3idt3SKcBfgwvl/view?usp=share_link
2022,Ormas,Ikatan Wanita Pengusaha Indonesia (IWAPI),Kesepakatan Bersama,Sekjen KKP,01/SJ-KKP/KB/II/2022,Ketua Umum IWAPI,009/IWAPI KKP/11/2022,5,2/25/2022,2/25/2027,Berlaku,Dokumen,https://drive.google.com/file/d/1nBeAxCfT71IKS8oL1N9IBaTnATCUQAqF/view?usp=share_link
2022,K/L,BASARNAS,Nota Kesepahaman,MKP,04/MEN-KP/II/2022,Kepala BASARNAS,MOU-56/KS.01.01/II/BSN-2022,5,2/23/2022,2/23/2027,Berlaku,Dokumen,https://drive.google.com/file/d/1sC_ELlGgjyUswc-xf4DkJ-dZ-aj5Rc2P/view?usp=share_link
2022,K/L,Deputi Bidang Perkoperasian,Perjanjian Kerja Sama,Dirjen PB,03/DJPB.KKP/PKS/11/2022,Deputi Bidang Perkoperasian ,03/PKS/D.1/11/2022,5,2/7/2022,2/7/2027,Berlaku,Dokumen,https://drive.google.com/file/d/1CY3Io9Lt8x7HE4GieAOcsb83_xXkzFui/view?usp=share_link
2022,Ormas,Pengurus Besar Nahdlatul Ulama,Kesepakatan Bersama,MKP,03/MEN-KP/KB/1/2022,Ketua Umum PBNU,72/A.11.03/01/2022,5,1/31/2022,1/31/2027,Berlaku,Dokumen,https://drive.google.com/file/d/1Sqo_OaF2Q5_oPbY5X4IXZ1SZvaSDurlx/view?usp=share_link
2022,BUMN,PT Bank Negara Indonesia (Persero) TBK,Kesepakatan Bersama,MKP,02/MEN-KP/KB/I/2022,Dirut PT BNI Persero,DIR/049,5,1/20/2022,1/20/2027,Berlaku,Dokumen,https://drive.google.com/file/d/1hbx2Eml7zZkyXmYABLa1IqctimJ0ITLC/view?usp=share_link
2022,Ormas,Yayasan Masyarakat dan Perikanan Indonesia (MDPI),Kesepakatan Bersama,Sekjen KKP,01/MEN-KP/KB/1/2022,Ketua Yayasan MDPI,015/MDPI-KB/I/2022,5,1/13/2022,1/13/2027,Berlaku,Dokumen,https://drive.google.com/file/d/1wXet7dWV_Qwf1DQ-g6Yb3wshS98Y5KF4/view?usp=share_link
