,MITRA,MITRA KERJA SAMA,JENIS KERJASAMA,SIGN,NOMOR,SIGN,NOMOR,MASA BERLAKU,MULAI,BERLAKU HINGGA,STATUS,DOKUMEN,
2017,Ormas,Yayasan Dana Sejahtera Mandiri                                                                                                                                                                                                                                                                                                                                                                                                                  Universitas Trilogi                                                                                                                                                                                                                                                                                                                                                                                                                             ,Kesepakatan Bersama,MKP,01/MEN-KP/KB/II/2017,Ketua Yayasan dan Rektor,006/MoU//YDSM/I/2017,3,2/2/2017,2/2/2020,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1YXV0hRDjZERE112QYvogosCS1D69cC77/view?usp=drive_link
2017,K/L,BPPT,Perjanjian Kerja Sama,Dir. KAPI,01/PKS/DJPT-KKP/4/2017,Dir. Pustek Rekayasa Industri Maritim,22/PKS/BPPT-KKP/04/2017,,4/18/2017,12/31/2017,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1RZuSivXSbxBqj1TJZnOLZsVOb2g5fbJ9/view?usp=drive_link
2018,K/L,SKK Migas,Nota Kesepahaman,MKP,07/MEN-KP/KB/X/2018,Ka. SKK Migas,MOU - 0003/SKKMA0000/2018/SO,5,10/18/2018,10/18/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/18fxyd_EbULlTPv3SlJQK4P8LmdixcQfF/view?usp=drive_link
2018,K/L,"Ditjen Dukcapil, Kemendagri",Perjanjian Kerja Sama,"Dirjen Dukcapil, Kemendagri",119/18561/DUKCAPIL,Sekjen KKP,04/SJ/KKP/PKS/X/2018,5,10/8/2018,10/8/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1XAyKIHSG1KJl-DDKu7SuMzmXD-kMPVIu/view?usp=drive_link
2018,K/L,"Pusat Alikasi Isotop dan Radiasi, BATAN",Perjanjian Kerja Sama,Ka. PusRiKel,16/BRSDM/KKP/PKS/VIII/2018,Ka. Pus Alikasi Isotop dan Radiasi,B-2396/BATAN/AIR/KS 00 01/08/2018,5,8/16/2018,8/16/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1RDTKmVtj7t9CgpTymf-ukc0rfJx9WszZ/view?usp=drive_link
2018,Universitas,Universitas Brawijaya,Kesepakatan Bersama,MKP,07/MEN-KP/KB/VIII/2018,Rektor UNIBRAW,085/UN10/KS/2018,5,8/14/2018,8/14/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1aNypabo7sICCVPnKaEMSBJivuMPQYca_/view?usp=drive_link
2018,Universitas,Universitas Diponegoro,Kesepakatan Bersama,MKP,06/MEN-KP/KB/VIII/2018,Rektor UNDIP,4902/UN7.P/KS/2018,5,8/12/2018,8/12/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/10HXxjaQVumZ295Gg2wFrO7siR84p1Pg6/view?usp=drive_link
2018,K/L,BPOM,Perjanjian Kerja Sama,Dirjen PDSPKP,04/PDSPKP/KKP/PKS/VII/2018,Deputi Bid. Pengawasan Pangan Olahan,HK.09.01.5.23.07.82.2844,5,7/30/2018,7/30/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1iSMciGmH8ntSUhyaeL5-ELGP0VC2Ldwd/view?usp=drive_link
2018,K/L,Kemendagri,Nota Kesepahaman,MKP,05/MEN-KP/KB/VII/2018,Mendagri,523/5141/SJ,5,7/24/2018,7/24/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1r5ePGxu391qLt8MZGJjCtCZZCNI-x-3f/view?usp=drive_link
2018,Pemda,Kabupaten Karangasem,Kesepakatan Bersama,Bupati Karangasem,075/311/KB/AD.PEM/2018,Dirjen PB,11/DJPB-KKP/KB/VI/2018,5,6/22/2018,6/22/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1G96b-GHvTiWM-1zAtORhzI2jCKgs2DTy/view?usp=drive_link
2018,Universitas,FPIK UNIBRAW,Perjanjian Kerja Sama,Kapusdik KP,160/BRSDM.4/KS.300/V/2018,Dekan FPIK Unibraw,2416/UN10.F06/KS/2018,5,5/2/2018,5/2/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1shsM6VoiO6FN6-4oYVKOpvRJQXn9dArN/view?usp=drive_link
2018,K/L,"Dirjen Hubungan Hukum Keagrariaan, Kementerian Agraria dan Tata Ruang
Dirjen Bina Pembangunan Daerah, Kemendagri
Deputi Bidang Pembiayaan, KemKop UKM, 
Dirjen Prasarana dan Sarana Pertanian, Kementan                                                                                                                                                                                                                                                                                                                                                                                                                    Dirjen PT, KKP
Dirjen PB, KKP",Perjanjian Kerja Sama,"Dirjen Hub Hukum Keagrariaan, Kementerian Agraria dan Tata Ruang",29/SKB-400/IV/2018,"Dirjen Hubungan Hukum Keagrariaan, Kementerian Agraria dan Tata Ruang
Dirjen Bina Pembangunan Daerah, Kemendagri
Deputi Bidang Pembiayaan, KemKop UKM, 
Dirjen Prasarana dan Sarana Pertanian, Kementan                                                                                                                                                                                                                                                                                                                                                                                                                    Dirjen PT, KKP
Dirjen PB, KKP",500/1738/Banda/2018                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             01/PKS/Dep.2/IV/2018                                                                                           03/MoU/OT.160/B/04/2018                                                                                                   01/PKS/DJPT-KKP/IV/2018                                                                                                                      01/DJPB-KKP/PKS/IV/2018,5,4/5/2018,4/5/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1frADh0fpFOVC1TzolEnD0CtoWDLoCyXs/view?usp=drive_link
